125000 -21.007542  114619  10381  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
126000 -21.614624  115537  10463  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
127000 -21.502305  116419  10581  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
128000 -21.133432  117302  10698  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
129000 -22.492276  118205  10795  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
130000 -22.556095  119121  10879  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
131000 -21.589944  120003  10997  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
132000 -22.066599  120922  11078  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
133000 -22.066701  121826  11174  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
134000 -22.399740  122741  11259  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
135000 -21.828358  123665  11335  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
136000 -21.153966  124585  11415  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
137000 -20.623726  125499  11501  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
138000 -21.350550  126400  11600  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
139000 -21.126619  127305  11695  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
140000 -19.669137  128201  11799  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
141000 -19.796864  129102  11898  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
142000 -22.027240  130018  11982  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
143000 -21.506856  130941  12059  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
144000 -20.998494  131841  12159  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
145000 -22.391309  132742  12258  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
146000 -22.535417  133633  12367  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
147000 -22.608690  134520  12480  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
148000 -21.660288  135419  12581  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
149000 -22.034736  136336  12664  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
150000 -21.671265  137283  12717  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
151000 -21.606689  138196  12804  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
152000 -20.861726  139097  12903  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
153000 -21.750576  140021  12979  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
154000 -20.578610  140940  13060  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
155000 -23.011755  141846  13154  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
156000 -21.672881  142743  13257  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
157000 -21.953958  143652  13348  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
158000 -21.927197  144553  13447  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
159000 -22.567013  145456  13544  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
160000 -21.178473  146340  13660  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
161000 -22.695188  147222  13778  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
162000 -22.794327  148119  13881  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
163000 -21.764219  149002  13998  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
164000 -22.855772  149890  14110  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
165000 -22.534308  150799  14201  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
166000 -23.028200  151714  14286  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
167000 -22.156515  152608  14392  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
168000 -22.024244  153490  14510  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
169000 -21.015370  154380  14620  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
170000 -21.808564  155276  14724  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
171000 -22.367711  156155  14845  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
172000 -22.272577  157053  14947  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
173000 -21.474051  157964  15036  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
174000 -22.871451  158867  15133  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
175000 -22.061488  159753  15247  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
176000 -22.110839  160647  15353  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
177000 -22.048992  161544  15456  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
178000 -21.080498  162431  15569  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
179000 -21.264316  163322  15678  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
180000 -22.587185  164218  15782  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
181000 -23.445385  165100  15900  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
182000 -22.755395  166004  15996  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
183000 -22.709934  166900  16100  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
184000 -23.460144  167796  16204  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
185000 -22.691374  168685  16315  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
186000 -20.767752  169556  16444  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
187000 -23.665161  170432  16568  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
188000 -22.987140  171318  16682  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
189000 -24.612381  172224  16776  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
190000 -24.761070  173130  16870  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
191000 -26.040011  174011  16989  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
192000 -25.494554  174908  17092  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
193000 -25.825074  175802  17198  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
194000 -24.823903  176727  17273  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
195000 -23.774888  177622  17378  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
196000 -24.438358  178510  17490  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
197000 -23.895447  179414  17586  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
198000 -23.217881  180328  17672  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
199000 -22.272363  181208  17792  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
200000 -22.592496  182091  17909  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
201000 -22.415733  182965  18035  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
202000 -23.683027  183870  18130  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
203000 -20.617767  184772  18228  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
204000 -21.310047  185681  18319  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
205000 -21.154644  186562  18438  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
206000 -21.363972  187463  18537  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
207000 -21.043958  188370  18630  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
208000 -19.752349  189260  18740  Density = 1052.006361 kg/m^3  Acceptance Ratio= 90/100 
209000 -21.581678  190155  18845  Density = 1052.006361 kg/m^3  Acceptance Ratio= 90/100 
210000 -20.599667  191069  18931  Density = 1052.006361 kg/m^3  Acceptance Ratio= 90/100 
211000 -19.708805  191971  19029  Density = 1052.006361 kg/m^3  Acceptance Ratio= 90/100 
212000 -20.868996  192866  19134  Density = 1052.006361 kg/m^3  Acceptance Ratio= 90/100 
213000 -20.854621  193769  19231  Density = 1052.006361 kg/m^3  Acceptance Ratio= 90/100 
214000 -22.089402  194678  19322  Density = 1052.006361 kg/m^3  Acceptance Ratio= 90/100 
215000 -20.352148  195578  19422  Density = 1052.006361 kg/m^3  Acceptance Ratio= 90/100 
216000 -21.375745  196493  19507  Density = 1052.006361 kg/m^3  Acceptance Ratio= 90/100 
217000 -21.419625  197403  19597  Density = 1052.006361 kg/m^3  Acceptance Ratio= 90/100 
218000 -20.059705  198308  19692  Density = 1052.006361 kg/m^3  Acceptance Ratio= 90/100 
219000 -20.916016  199168  19832  Density = 1052.006361 kg/m^3  Acceptance Ratio= 90/100 
220000 -21.503511  200078  19922  Density = 1052.006361 kg/m^3  Acceptance Ratio= 90/100 
221000 -22.368755  200994  20006  Density = 1052.006361 kg/m^3  Acceptance Ratio= 90/100 
222000 -20.959797  201908  20092  Density = 1052.006361 kg/m^3  Acceptance Ratio= 90/100 
223000 -20.621151  202815  20185  Density = 1052.006361 kg/m^3  Acceptance Ratio= 90/100 
224000 -20.120219  203724  20276  Density = 1052.006361 kg/m^3  Acceptance Ratio= 90/100 
225000 -19.900402  204653  20347  Density = 1052.006361 kg/m^3  Acceptance Ratio= 90/100 
226000 -19.447222  205565  20435  Density = 1052.006361 kg/m^3  Acceptance Ratio= 90/100 
227000 -21.148314  206492  20508  Density = 1052.006361 kg/m^3  Acceptance Ratio= 90/100 
228000 -20.070305  207424  20576  Density = 1052.006361 kg/m^3  Acceptance Ratio= 90/100 
229000 -19.717186  208351  20649  Density = 1052.006361 kg/m^3  Acceptance Ratio= 90/100 
230000 -20.478875  209271  20729  Density = 1052.006361 kg/m^3  Acceptance Ratio= 90/100 
231000 -20.262811  210189  20811  Density = 1052.006361 kg/m^3  Acceptance Ratio= 90/100 
232000 -19.485824  211101  20899  Density = 1052.006361 kg/m^3  Acceptance Ratio= 90/100 
233000 -17.850411  212009  20991  Density = 1052.006361 kg/m^3  Acceptance Ratio= 90/100 
234000 -19.027288  212935  21065  Density = 1052.006361 kg/m^3  Acceptance Ratio= 90/100 
235000 -18.321053  213843  21157  Density = 1052.006361 kg/m^3  Acceptance Ratio= 90/100 
236000 -18.386980  214744  21256  Density = 1052.006361 kg/m^3  Acceptance Ratio= 90/100 
237000 -18.791034  215675  21325  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
238000 -18.706986  216623  21377  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
239000 -18.975119  217557  21443  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
240000 -18.840297  218491  21509  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
241000 -18.675505  219433  21567  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
242000 -18.600983  220363  21637  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
243000 -18.211161  221295  21705  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
244000 -17.483053  222222  21778  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
245000 -18.802214  223141  21859  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
246000 -17.858821  224063  21937  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
247000 -18.102768  224992  22008  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
248000 -18.498155  225930  22070  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
249000 -18.389630  226863  22137  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
250000 -18.790487  227770  22230  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
251000 -18.262514  228688  22312  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
252000 -18.570391  229602  22398  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
253000 -18.716418  230513  22487  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
254000 -18.672857  231420  22580  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
255000 -18.146304  232326  22674  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
256000 -18.477669  233225  22775  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
257000 -18.094868  234123  22877  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
258000 -18.914445  235039  22961  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
259000 -18.565164  235942  23058  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
260000 -19.216218  236852  23148  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
261000 -19.367868  237793  23207  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
262000 -19.373983  238722  23278  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
263000 -19.311785  239641  23359  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
264000 -18.351853  240560  23440  Density = 1052.006361 kg/m^3  Acceptance Ratio= 91/100 
